ticker,official_name
ABIO,iАРТГЕН ао
ABRD,АбрауДюрсо
AFKS,Система ао
AFLT,Аэрофлот
ALRS,АЛРОСА ао
AMEZ,АшинскийМЗ
APRI,АПРИ
APTK,Аптеки36и6
ARSA,Арсагера
ASSB,АстрЭнСб
BISVP,БашИнСв ап
BLNG,Белон ао
BSPB,БСП ао
BSPBP,БСП ап
CARM,СТГ
CBOM,МКБ ао
CHGZ,РН-ЗапСиб
CNTL,Телеграф
CNTLP,Телеграф-п
DIOD,ЗаводДИОД
DVEC,ДЭК ао
EELT,ЕвроЭлтех
ELFV,ЭЛ5Энер ао
ELMT,Элемент
FEES,Россети
FESH,ДВМП ао
FLOT,Совкомфлот
GAZA,ГАЗ ао
GAZAP,ГАЗ ап
GAZC,ГАЗКОН-ао
GAZP,ГАЗПРОМ ао
GAZS,ГАЗ-сервис
GAZT,ГАЗ-Тек ао
GECO,iГЕНЕТИКО
GEMA,iММЦБ ао
GMKN,ГМКНорНик
GTRK,ГТМ ао
HIMCP,Химпром ап
HYDR,РусГидро
IRAO,ИнтерРАОао
IRKT,Яковлев-3
JNOS,Славн-ЯНОС
JNOSP,Слав-ЯНОСп
KAZT,Куйбазот
KAZTP,Куйбазот-п
KBSB,ТНСэКубань
KCHE,КамчатЭ ао
KCHEP,КамчатЭ ап
KGKC,КурганГКао
KGKCP,КурганГКап
KLSB,КалужскСК
KLVZ,Кристалл
KMAZ,КАМАЗ
KRKOP,ТКЗКК ап
KROT,КрасОкт-ао
KROTP,КрасОкт-1п
KRSB,Красэсб ао
KRSBP,Красэсб ап
KUZB,КузнецкийБ
KZOS,ОргСинт ао
KZOSP,ОргСинт ап
LIFE,Фармсинтез
LPSB,ЛЭСК ао
LSNG,РСетиЛЭ
LSNGP,РСетиЛЭ-п
LVHK,Левенгук
MAGE,МагадЭн ао
MAGEP,МагадЭн ап
MAGN,ММК
MFGS,Мегион-ао
MFGSP,Мегион-ап
MGKL,МГКЛ
MISB,ТНСэнМарЭл
MISBP,ТНСэМаЭл-п
MOEX,МосБиржа
MRKC,РоссЦентр
MRKK,Россети СК
MRKP,РСетиЦП ао
MRKS,РсетСиб ао
MRKU,Россети Ур
MRKV,РсетВол ао
MRKY,РоссЮг ао
MRKZ,РСетиСЗ ао
MRSB,МордЭнСб
MSNG,+МосЭнерго
MSRS,РСетиМР ао
MSTT,Мостотрест
MTLRP,Мечел ап
MTSS,МТС-ао
NAUK,iНПОНаука
NFAZ,НЕФАЗ
NKHP,НКХП ао
NKNC,НКНХ ао
NKNCP,НКНХ ап
NKSH,Нижкамшина
NLMK,НЛМК ао
NMTP,НМТП ао
NSVZ,iНаукаСвяз
OGKB,ОГК-2 ао
OKEY,OKEY-гдр
OZPH,iОзонФарм
PMSB,ПермьЭнСб
PMSBP,ПермьЭнС-п
PRFN,ЧЗПСН ао
RASP,Распадская
RBCM,ГК РБК ао
RDRB,РДБанк ао
RENI,Ренессанс
RGSS,РГС СК ао
ROLO,Русолово
ROST,РОСИНТЕРао
RTKM,Ростел -ао
RTKMP,Ростел -ап
RTSB,ТНСэнРст
RTSBP,ТНСэнРст-п
RUAL,РУСАЛ ао
RUSI,ИКРУСС-ИНВ
RZSB,РязЭнСб
SAGO,СамарЭн-ао
SAGOP,СамарЭн-ап
SARE,СаратЭн-ао
SAREP,СаратЭн-ап
SBER,Сбербанк
SBERP,Сбербанк-п
SELG,Селигдар
SGZH,Сегежа
SLEN,Сахэнер ао
SNGS,Сургнфгз
SNGSP,Сургнфгз-п
SOFL,iСофтлайн
STSB,СтаврЭнСб
STSBP,СтаврЭнСбп
SVCB,Совкомбанк
TASB,ТамбЭнСб
TASBP,ТамбЭнСб-п
TGKA,ТГК-1
TGKB,ТГК-2
TGKBP,ТГК-2 ап
TGKN,ТГК-14
TORS,РСТомск ао
TORSP,РСТомск ап
TRMK,ТМК ао
TTLK,Таттел. ао
TUZA,ТЗА ао
UGLD,ЮГК
UNAC,iАвиастКао
UPRO,Юнипро ао
USBN,УралСиб ао
UTAR,ЮТэйр ао
VEON-RX,VEON
VGSB,ВолгЭнСб
VGSBP,ВолгЭнСб-п
VLHZ,ВХЗ-ао
VRSB,ТНСэнВорон
VRSBP,ТНСэнВор-п
WTCM,ЦМТ ао
WTCMP,ЦМТ ап
YAKG,ЯТЭК ао
YKEN,Якутскэнрг
YKENP,Якутскэн-п
YRSB,ТНСэнЯр
YRSBP,ТНСэнЯр-п
ZAYM,Займер ао
ZVEZ,ЗВЕЗДА ао
ASTR,Астра ао
BANE,Башнефт ао
BELU,НоваБев ао
CHMF,СевСт-ао
CNRU,ЦИАН
DATA,iАренадата
DIAS,iДиасофт
IVAT,iИВА
LEAS,Европлан
LKOH,ЛУКОЙЛ
LMBZ,Ламбумиз
MBNK,МТС Банк
MGNT,Магнит ао
MTLR,Мечел ао
MVID,М.видео
NVTK,Новатэк ао
OZON,OZON-адр
PHOR,ФосАгро ао
PIKK,ПИК ао
PLZL,Полюс
POSI,iПозитив
PRMD,ПРОМОМЕД
RAGR,Русагро
RNFT,РуссНфт ао
ROSN,Роснефть
SFIN,ЭсЭфАй ао
SIBN,Газпрнефть
SMLT,Самолет ао
SPBE,СПБ Биржа
T,Т-Техно ао
TATN,Татнфт 3ао
TATNP,Татнфт 3ап
TRNFP,Транснф ап
VKCO,"МКПАО ""ВК"""
VSEH,ВИ.ру
VTBR,ВТБ ао
WUSH,iВУШХолднг
X5,КЦ ИКС 5
YDEX,ЯНДЕКС
AGRO,AGRO-гдр
AKRN,Акрон
AQUA,ИНАРКТИКА
AVAN,Авангрд-ао
BANEP,Башнефт ап
BRZL,БурЗолото
CHKZ,ЧКПЗ ао
CHMK,ЧМК ао
CIAN,CIAN-адр
DELI,iКаршеринг
DZRD,ДонскЗР
DZRDP,ДонскЗР п
ENPG,ЭН+ГРУП ао
ETLN,ETLN-гдр
EUTR,ЕвроТранс
FIXP,FIXP-гдр
GCHE,ЧеркизГ-ао
GEMC,МКПАО ЮМГ
HEAD,Хэдхантер
HNFG,ХЭНДЕРСОН
